lon,lat,elevation,som,moisture,temp,B01_1,B02_1,B03_1,B04_1,B05_1,B06_1,B07_1,B08_1,B09_1,B11_1,B12_1,B8A_1
142.1317105,-36.74589338,422.24,2.43,24.7,71.8,1712.0,1934.0,2032.0,2222.0,2368.0,3008.0,3136.0,3711.0,3840.0,4032.0,3136.0,3392.0
142.1316649,-36.74593413,422.57,2.73,26.23,70.83,1712.0,1934.0,2032.0,2222.0,2368.0,3008.0,3136.0,3711.0,3840.0,4032.0,3136.0,3392.0
142.1316222,-36.74597759,422.9,2.785,26.0,71.9,1712.0,1709.0,1875.0,2045.0,2368.0,3008.0,3136.0,3048.0,3840.0,4032.0,3136.0,3392.0
142.1315674,-36.74601101,422.9,2.71,26.25,72.63,1712.0,1709.0,1875.0,2045.0,2368.0,3008.0,3136.0,3048.0,3840.0,4032.0,3136.0,3392.0
142.1315232,-36.74605309,423.23,2.545,29.15,72.98,1744.0,1489.0,1639.0,1748.0,2496.0,2880.0,3008.0,3241.0,3840.0,3904.0,3264.0,3264.0
142.1314918,-36.7461162,423.23,2.445,28.6,73.15,1744.0,1489.0,1639.0,1748.0,2496.0,2880.0,3008.0,3241.0,3840.0,3904.0,3264.0,3264.0
142.1314251,-36.74612948,423.23,2.665,29.18,71.3,1744.0,1584.0,1745.0,1865.0,2496.0,2880.0,3008.0,3068.0,3840.0,3904.0,3264.0,3264.0
142.1313597,-36.74614641,423.23,2.865,28.75,71.75,1744.0,1584.0,1745.0,1865.0,2496.0,2880.0,3008.0,3068.0,3840.0,3904.0,3264.0,3264.0
142.1312977,-36.74616972,423.23,2.795,29.8,71.5,1744.0,1579.0,1653.0,1827.0,2368.0,2496.0,2752.0,2432.0,3840.0,3776.0,2752.0,2880.0
142.1312387,-36.74619762,423.23,2.625,27.97,73.25,1744.0,1579.0,1653.0,1827.0,2368.0,2496.0,2752.0,2432.0,3840.0,3776.0,2752.0,2880.0
142.1311794,-36.74622492,423.56,2.675,26.05,71.53,1744.0,1376.0,1526.0,1587.0,2368.0,2496.0,2752.0,2135.0,3840.0,3776.0,2752.0,2880.0
142.1311198,-36.74625222,423.56,2.465,24.93,73.25,1744.0,1376.0,1526.0,1587.0,2368.0,2496.0,2752.0,2135.0,3840.0,3776.0,2752.0,2880.0
142.1310604,-36.74627942,423.56,2.76,25.5,73.43,1712.0,1319.0,1428.0,1465.0,2368.0,2880.0,2880.0,2221.0,3840.0,4032.0,3136.0,3520.0
142.131001,-36.74630672,423.56,2.695,26.35,73.8,1712.0,1319.0,1428.0,1465.0,2368.0,2880.0,2880.0,2221.0,3840.0,4032.0,3136.0,3520.0
142.1309416,-36.74633402,423.88,2.585,29.75,73.5,1712.0,1674.0,1847.0,1971.0,2368.0,2880.0,2880.0,3503.0,3840.0,4032.0,3136.0,3520.0
